qValue,rValue,sValue
0.0035,10.9215994,1.99440518
0.003620549,13.8021292,2.52038555
0.00374525,11.1925631,1.08075461
0.003874246,9.28374483,0.692417422
0.004007685,11.0284059,1.49164598
0.00414572,11.9172333,1.09512597
0.004288509,10.8143377,0.596622526
0.004436216,8.4673982,0.477394621
0.004589011,7.93141571,0.649772128
0.004747068,7.22647943,0.468096169
0.00491057,6.41694419,0.354493368
0.005079702,5.74376796,0.316863096
0.00525466,4.96941863,0.32134981
0.005435644,4.37978933,0.214154815
0.005622862,3.93658072,0.207939462
0.005816528,3.40308157,0.179688999
0.006016864,2.99515616,0.13693944
0.0062241,2.61523244,0.123616715
0.006438474,2.35940392,0.119741991
0.006660232,2.06014145,0.084283952
0.006889627,1.88079582,0.095408464
0.007126923,1.6342943,0.06233809
0.007372393,1.46565447,0.067040361
0.007626317,1.31688415,0.052578484
0.007888987,1.15255154,0.039867309
0.008160704,1.04267635,0.044966216
0.00844178,0.928470877,0.030517296
0.008732536,0.830649043,0.029269414
0.009033307,0.745808129,0.024926202
0.009344437,0.684899508,0.025595295
0.009666284,0.615523511,0.017611087
0.009999216,0.545772446,0.016443769
0.010343614,0.498084586,0.015212909
0.010699875,0.449950392,0.012579858
0.011068406,0.409990305,0.011887366
0.01144963,0.375671011,0.010055778
0.011843985,0.345041531,0.008955015
0.012251922,0.315804623,0.008202028
0.01267391,0.293049414,0.007193856
0.013110432,0.270245291,0.006307623
0.013561989,0.249217024,0.005556489
0.014029099,0.231637945,0.005325449
0.014512297,0.21637169,0.004725672
0.015012137,0.204284334,0.004285967
0.015529194,0.190257585,0.003654596
0.016064059,0.179663394,0.003232653
0.016617347,0.167963524,0.002901963
0.017189691,0.160804956,0.0026161
0.017781748,0.153238983,0.002472238
0.018394197,0.145547461,0.002159811
0.01902774,0.139936432,0.001983918
0.019683105,0.134159408,0.001823706
0.020361041,0.128957669,0.001721721
0.021062328,0.12480472,0.001590499
0.021787768,0.122054365,0.001516768
0.022538195,0.118357002,0.001354337
0.023314468,0.115351806,0.00130577
0.024117478,0.112599106,0.001218715
0.024948146,0.110849096,0.001153734
0.025807424,0.108946866,0.001109823
0.026696298,0.107306978,0.001034144
0.027615787,0.10561021,0.001009464
0.028566946,0.104215033,0.001016603
0.029550865,0.103115652,0.000949276
0.030568673,0.101710498,0.00094337
0.031621536,0.100143052,0.000885406
0.032710663,0.098930823,0.000867884
0.033837302,0.097072183,0.000838912
0.035002746,0.095631375,0.000853962
0.03620833,0.093909574,0.000806838
0.037455438,0.092300505,0.00075264
0.0387455,0.090792498,0.000729936
0.040079994,0.088474391,0.000683709
0.041460452,0.08634135,0.000653995
0.042888456,0.084324832,0.000603341
0.044365645,0.082212116,0.000573692
0.045893712,0.080304273,0.000536681
0.047474409,0.078746568,0.000509826
0.049109549,0.076925183,0.000483966
0.050801008,0.075692934,0.000467018
0.052550725,0.074500111,0.000470772
0.054360707,0.073435296,0.000451107
0.05623303,0.072879652,0.000424529
0.05816984,0.072408313,0.000401247
0.060173358,0.072032629,0.000386457
0.062245883,0.071633244,0.000369149
0.064389791,0.071761113,0.000356475
0.066607541,0.071740082,0.000347639
0.068901676,0.071495956,0.000337419
0.071274826,0.071111605,0.000342406
0.073729714,0.070506958,0.000321745
0.076269155,0.070237391,0.000303284
0.07889606,0.069873923,0.000289981
0.081613443,0.069201139,0.000277432
0.08442442,0.068840915,0.000266478
0.087332213,0.068609619,0.000254894
0.090340159,0.068397585,0.000248395
0.093451706,0.068215564,0.000237836
0.096670423,0.068081563,0.000230092
0.1,0.06799719,0.000250525
0.102,0.06785667,0.000285093
0.104,0.067792681,0.00028438
0.106,0.067754685,0.000296638
0.108,0.067670542,0.000296444
0.11,0.06760978,0.0003002
0.112,0.067423944,0.000303049
0.114,0.067448448,0.000305128
0.116,0.067306535,0.000304505
0.118,0.067048154,0.000305785
0.12,0.066967218,0.000299629
0.122,0.066835416,0.000286427
0.124,0.06674859,0.000279004
0.126,0.066635969,0.00027525
0.128,0.066554091,0.000269626
0.13,0.066385321,0.00026526
0.132,0.066213544,0.000260243
0.134,0.066293641,0.000257941
0.136,0.066155126,0.000254404
0.138,0.066060797,0.000251978
0.14,0.065885178,0.000259475
0.142,0.065818115,0.000273407
0.144,0.06567188,0.00027943
0.146,0.065620487,0.000268859
0.148,0.065455665,0.000254817
0.15,0.065460238,0.000246662
0.152,0.065331385,0.000241612
0.154,0.065267195,0.000239343
0.156,0.065261532,0.000238014
0.158,0.065187898,0.000235291
0.16,0.065140952,0.000234134
0.162,0.064991681,0.000231751
0.164,0.065027228,0.000230073
0.166,0.064957871,0.000227654
0.168,0.064858893,0.000225351
0.17,0.064708233,0.000223607
0.172,0.06459694,0.000221252
0.174,0.064477406,0.000226058
0.176,0.064395197,0.000228497
0.178,0.064368645,0.000221501
0.18,0.06434897,0.000227969
0.182,0.064275663,0.000219084
0.184,0.064198655,0.000214024
0.186,0.064154177,0.000213079
0.188,0.064078736,0.000211606
0.19,0.063930378,0.000211196
0.192,0.063995524,0.000209582
0.194,0.063872903,0.000207819
0.196,0.063838216,0.000206282
0.198,0.063819198,0.000204694
0.2,0.063746961,0.000202835
0.202,0.063691838,0.000201779
0.204,0.06356277,0.000199242
0.206,0.063534727,0.000199212
0.208,0.063439756,0.000197059
0.21,0.063427244,0.000195104
0.212,0.063386295,0.000194334
0.214,0.063183931,0.000197962
0.216,0.063175509,0.000200218
0.218,0.063150478,0.000193814
0.22,0.06309936,0.000192116
0.222,0.063150068,0.000190639
0.224,0.06312283,0.000188774
0.226,0.062926263,0.00018671
0.228,0.062915708,0.000186869
0.23,0.062897372,0.000188688
0.232,0.062859585,0.000194462
0.234,0.062780513,0.00019582
0.236,0.062821709,0.000199162
0.238,0.062772908,0.000200111
0.24,0.062686736,0.000200595
0.242,0.062711987,0.000196837
0.244,0.062603677,0.000190878
0.246,0.06265187,0.000189433
0.248,0.0625001,0.000187328
0.25,0.062468605,0.000193777
0.252,0.06245746,0.00018763
0.254,0.062477991,0.000184569
0.256,0.062337672,0.000181889
0.258,0.062362197,0.000181261
0.26,0.062252903,0.000179179
0.262,0.062231844,0.000178624
0.264,0.062247891,0.00017707
0.266,0.062182222,0.000176123
0.268,0.062145147,0.000174839
0.27,0.06211027,0.000173425
0.272,0.062037712,0.00017064
0.274,0.061981896,0.000169453
0.276,0.061908159,0.000168195
0.278,0.061893678,0.000168175
0.28,0.061801371,0.000167802
0.282,0.061807178,0.000168183
0.284,0.061632657,0.000170278
0.286,0.061594067,0.000172242
0.288,0.0615653,0.00016733
0.29,0.061549195,0.00016598
0.292,0.061477166,0.000164601
0.294,0.061433322,0.000163496
0.296,0.061429588,0.000166381
0.298,0.061335391,0.000168317
0.3,0.061362544,0.000164824
0.302,0.061277297,0.000163572
0.304,0.061250943,0.000161394
0.306,0.061205615,0.000159913
0.308,0.061179796,0.000159562
0.31,0.061107198,0.000159276
0.312,0.061108168,0.000158586
0.314,0.061053886,0.000156999
0.316,0.060964572,0.000155994
0.318,0.060946121,0.000155849
0.32,0.060837343,0.000160517
0.322,0.060874068,0.000157087
0.324,0.060817291,0.000155215
0.326,0.060777586,0.000154532
0.328,0.060725861,0.000153057
0.33,0.060723361,0.000152293
0.332,0.060663162,0.000151836
0.334,0.060583434,0.000150979
0.336,0.06061409,0.000150547
0.338,0.060529721,0.000149062
0.34,0.060514621,0.000148146
0.342,0.060512029,0.000148213
0.344,0.060501231,0.00014765
0.346,0.060370169,0.000146574
0.348,0.060402806,0.000146373
0.35,0.060357264,0.000146191
0.352,0.060277388,0.000147349
0.354,0.060248755,0.00015315
0.356,0.060185285,0.000158087
0.358,0.060202426,0.000156145
0.36,0.060196121,0.000156176
0.362,0.060133991,0.000157423
0.364,0.060093137,0.000154817
0.366,0.060045553,0.000150834
0.368,0.060095547,0.000148695
0.37,0.059995735,0.000147486
0.372,0.059973414,0.000145486
0.374,0.059895282,0.000145138
0.376,0.059837509,0.000144629
0.378,0.059817844,0.000143784
0.38,0.059825463,0.000142666
0.382,0.059838735,0.00014202
0.384,0.059676462,0.000140883
0.386,0.05969185,0.000140121
0.388,0.059682064,0.000139515
0.39,0.059605588,0.000143903
0.392,0.059475476,0.000141415
0.394,0.059561368,0.000139683
0.396,0.059475389,0.000138675
0.398,0.059445805,0.000138505
0.4,0.059422203,0.000137931
0.402,0.059386164,0.000138079
0.404,0.059308488,0.000137019
0.406,0.059363901,0.000136535
0.408,0.059244149,0.000136235
0.41,0.059308417,0.000136279
0.412,0.059263515,0.00013541
0.414,0.059138404,0.000134772
0.416,0.059189398,0.000134289
0.418,0.059161557,0.00013685
0.42,0.059163737,0.000138357
0.422,0.05905072,0.000136052
0.424,0.05908814,0.00013649
0.426,0.059077745,0.000139032
0.428,0.059009388,0.000140247
0.43,0.058924366,0.00014167
0.432,0.058917751,0.000142005
0.434,0.058916779,0.000143288
0.436,0.058845753,0.000143368
0.438,0.05881861,0.000144009
0.44,0.058798476,0.000143034
0.442,0.058899484,0.000143277
0.444,0.058769285,0.000143948
0.446,0.058762219,0.000144704
0.448,0.058738325,0.00014521
0.45,0.058676751,0.000145317
0.452,0.058710595,0.00014542
0.454,0.058705208,0.000145093
