qValue,rValue,sValue
0.0035,11.1825706,2.04227258
0.003620549,14.2898479,2.60949899
0.00374525,11.3645656,1.10281724
0.003874246,9.44770977,0.704739237
0.004007685,11.2829004,1.52495775
0.00414572,12.2765751,1.12871347
0.004288509,11.1201938,0.613519826
0.004436216,8.62359437,0.48575238
0.004589011,8.1862044,0.67044986
0.004747068,7.46530553,0.483331777
0.00491057,6.64023804,0.366767445
0.005079702,5.97344976,0.32949851
0.00525466,5.18399607,0.335202548
0.005435644,4.5639323,0.22316144
0.005622862,4.14938922,0.21914071
0.005816528,3.60548063,0.190336252
0.006016864,3.16791319,0.144819387
0.0062241,2.79797901,0.132229304
0.006438474,2.54034149,0.128881807
0.006660232,2.2250177,0.090999949
0.006889627,2.04314212,0.103607284
0.007126923,1.80876742,0.068981394
0.007372393,1.61631078,0.073880185
0.007626317,1.47669162,0.058931615
0.007888987,1.3097084,0.045274803
0.008160704,1.19298463,0.051431622
0.00844178,1.07008711,0.035162263
0.008732536,0.972883644,0.034270587
0.009033307,0.880413543,0.029408574
0.009344437,0.816342876,0.030502977
0.009666284,0.736047858,0.021048621
0.009999216,0.667393483,0.020087764
0.010343614,0.610859831,0.018641247
0.010699875,0.559100821,0.015618964
0.011068406,0.519865194,0.015059876
0.01144963,0.478706388,0.012795919
0.011843985,0.441383492,0.011441258
0.012251922,0.412802821,0.0107024
0.01267391,0.384586235,0.009424883
0.013110432,0.35834214,0.008348669
0.013561989,0.332735814,0.007403013
0.014029099,0.315822611,0.007247452
0.014512297,0.295141681,0.006433439
0.015012137,0.279436268,0.005847952
0.015529194,0.264416427,0.005064208
0.016064059,0.249973114,0.004483776
0.016617347,0.237888317,0.004096681
0.017189691,0.228829467,0.003709206
0.017781748,0.219731957,0.003531047
0.018394197,0.212307939,0.003137667
0.01902774,0.206167185,0.002910381
0.019683105,0.19973468,0.002702298
0.020361041,0.194965986,0.002589997
0.021062328,0.191372901,0.002425532
0.021787768,0.187542224,0.002318251
0.022538195,0.18530823,0.002108662
0.023314468,0.182433851,0.002052334
0.024117478,0.179818325,0.001935407
0.024948146,0.178573679,0.001848004
0.025807424,0.176480778,0.00178748
0.026696298,0.17519138,0.001677764
0.027615787,0.173862488,0.001650191
0.028566946,0.171749715,0.001663971
0.029550865,0.169701899,0.001552059
0.030568673,0.167910698,0.001547499
0.031621536,0.165548121,0.001453067
0.032710663,0.162860907,0.001418517
0.033837302,0.16005169,0.001372969
0.035002746,0.156981584,0.001391505
0.03620833,0.153309362,0.00130727
0.037455438,0.149269871,0.001207967
0.0387455,0.14472618,0.001155138
0.040079994,0.139257363,0.001069075
0.041460452,0.133634728,0.001004552
0.042888456,0.127575918,0.000906516
0.044365645,0.121589556,0.000842513
0.045893712,0.115226195,0.00076464
0.047474409,0.108765695,0.000699513
0.049109549,0.102662692,0.000642089
0.050801008,0.097252157,0.000596645
0.052550725,0.09233592,0.000580496
0.054360707,0.088697029,0.000542397
0.05623303,0.085598693,0.000496296
0.05816984,0.0838174,0.000462709
0.060173358,0.082822053,0.000442638
0.062245883,0.08243569,0.000423158
0.064389791,0.082787253,0.000409538
0.066607541,0.083401641,0.000402532
0.068901676,0.083685566,0.000393187
0.071274826,0.083607404,0.000400542
0.073729714,0.082890857,0.000376525
0.076269155,0.081976733,0.000352501
0.07889606,0.080355623,0.000332039
0.081613443,0.078543088,0.00031358
0.08442442,0.0768261,0.000296276
0.087332213,0.075347153,0.000279043
0.090340159,0.074414707,0.000269407
0.093451706,0.073829982,0.000256655
0.096670423,0.073889042,0.000248949
0.1,0.073954841,0.000271683
0.102,0.073909813,0.000309578
0.104,0.073939254,0.000309184
0.106,0.073777296,0.000321936
0.108,0.073694837,0.000321951
0.11,0.073486218,0.000325308
0.112,0.073177309,0.0003279
0.114,0.072817153,0.0003284
0.116,0.072521339,0.000327123
0.118,0.072209533,0.000328358
0.12,0.071816031,0.00032034
0.122,0.07143909,0.000305185
0.124,0.071153423,0.000296592
0.126,0.070888863,0.000292128
0.128,0.070660932,0.000285563
0.13,0.070323374,0.000280223
0.132,0.07027788,0.000275465
0.134,0.070090669,0.000272068
0.136,0.069845941,0.000267871
0.138,0.069585642,0.000264772
0.14,0.069468843,0.00027287
0.142,0.069294804,0.000287131
0.144,0.069057929,0.000293174
0.146,0.068879847,0.000281654
0.148,0.068907244,0.000267614
0.15,0.068740381,0.000258361
0.152,0.068639628,0.000253214
0.154,0.068636688,0.000251066
0.156,0.068665652,0.000249792
0.158,0.068692302,0.000247349
0.16,0.068566419,0.000245801
0.162,0.068671669,0.00024433
0.164,0.068622596,0.000242183
0.166,0.0686947,0.000240165
0.168,0.068641715,0.000237855
0.17,0.068472518,0.000236038
0.172,0.068352233,0.000233567
0.174,0.068214002,0.000238514
0.176,0.068064069,0.000240874
0.178,0.067862078,0.000232946
0.18,0.067648545,0.000239032
0.182,0.067430272,0.000229242
0.184,0.067217966,0.000223549
0.186,0.066897767,0.000221677
0.188,0.066751056,0.000219957
0.19,0.066544114,0.000219293
0.192,0.066278758,0.000216544
0.194,0.066090027,0.000214561
0.196,0.065948225,0.000212636
0.198,0.065731488,0.000210408
0.2,0.065664839,0.000208566
0.202,0.065382786,0.000206741
0.204,0.065252379,0.000204094
0.206,0.065142242,0.000203772
0.208,0.065036105,0.000201573
0.21,0.064941034,0.000199364
0.212,0.06476103,0.000198182
0.214,0.064658751,0.000202188
0.216,0.064590682,0.000204315
0.218,0.064448363,0.000197491
0.22,0.064453111,0.000195888
0.222,0.064317762,0.000193849
0.224,0.064317772,0.00019202
0.226,0.064177614,0.00019008
0.228,0.064043968,0.000189852
0.23,0.064033377,0.000191792
0.232,0.063927386,0.000197425
0.234,0.06388834,0.00019888
0.236,0.063810966,0.000201975
0.238,0.06375164,0.000202846
0.24,0.063627645,0.000203236
0.242,0.063579605,0.000199242
0.244,0.063561708,0.000193435
0.246,0.063436743,0.000191472
0.248,0.063366969,0.000189583
0.25,0.063375037,0.000196257
0.252,0.063368888,0.000190026
0.254,0.063228418,0.000186439
0.256,0.063154724,0.000183961
0.258,0.06317661,0.000183329
0.26,0.063062816,0.000181191
0.262,0.06293577,0.000180343
0.264,0.062922704,0.000178671
0.266,0.0628207,0.000177681
0.268,0.062790089,0.000176344
0.27,0.062732314,0.000174835
0.272,0.062628021,0.000171992
0.274,0.062569018,0.000170805
0.276,0.062529072,0.000169611
0.278,0.062413045,0.000169308
0.28,0.062342247,0.000169008
0.282,0.062355279,0.00016936
0.284,0.062260049,0.000171729
0.286,0.062210791,0.000173671
0.288,0.06212682,0.000168612
0.29,0.062008802,0.000166957
0.292,0.061944223,0.000165569
0.294,0.061914586,0.000164529
0.296,0.06182105,0.000167164
0.298,0.061781491,0.000169257
0.3,0.061728315,0.000165567
0.302,0.061682494,0.000164359
0.304,0.061654523,0.00016218
0.306,0.061585459,0.000160649
0.308,0.061545486,0.000160295
0.31,0.061504946,0.000160084
0.312,0.06143517,0.000159199
0.314,0.061394081,0.000157615
0.316,0.06134592,0.000156685
0.318,0.061296857,0.000156502
0.32,0.061161331,0.000161162
0.322,0.061168394,0.000157601
0.324,0.061133793,0.000155752
0.326,0.061115556,0.000155128
0.328,0.061101806,0.000153728
0.33,0.060973745,0.000152653
0.332,0.060980998,0.000152379
0.334,0.060924571,0.000151542
0.336,0.060843599,0.000150888
0.338,0.060907954,0.000149744
0.34,0.060825316,0.000148642
0.342,0.060794829,0.00014868
0.344,0.060671184,0.000147808
0.346,0.060735892,0.000147199
0.348,0.060693541,0.000146836
0.35,0.060624086,0.000146594
0.352,0.060574042,0.000147872
0.354,0.060501024,0.000153559
0.356,0.06051246,0.000158719
0.358,0.060479586,0.00015662
0.36,0.060510209,0.000156721
0.362,0.060402277,0.000157861
0.364,0.060440566,0.000155517
0.366,0.060300866,0.000151262
0.368,0.060209737,0.000148766
0.37,0.06022515,0.000147814
0.372,0.060114201,0.000145588
0.374,0.060127735,0.000145492
0.376,0.060121883,0.000145079
0.378,0.060063664,0.000144152
0.38,0.06004859,0.000142964
0.382,0.06000371,0.000142183
0.384,0.05994785,0.000141322
0.386,0.05986832,0.00014031
0.388,0.059855696,0.000139721
0.39,0.059792446,0.000144086
0.392,0.059711779,0.000141741
0.394,0.059715247,0.000139833
0.396,0.059710541,0.000139017
0.398,0.059716078,0.000138918
0.4,0.059585969,0.000138064
0.402,0.059611292,0.000138393
0.404,0.059539632,0.000137333
0.406,0.059510917,0.000136654
0.408,0.059526506,0.000136672
0.41,0.059453297,0.00013642
0.412,0.059402007,0.000135535
0.414,0.05936433,0.000135076
0.416,0.059360736,0.000134476
0.418,0.059371512,0.000137134
0.42,0.059370747,0.000138616
0.422,0.059263155,0.000136341
0.424,0.05922699,0.000136623
0.426,0.059204117,0.000139124
0.428,0.059161949,0.000140359
0.43,0.059086658,0.000141835
0.432,0.05909741,0.000142208
0.434,0.059141327,0.000143623
0.436,0.059030358,0.000143646
0.438,0.059004745,0.000144229
0.44,0.058974128,0.000143225
0.442,0.058978422,0.000143273
0.444,0.058861772,0.000143961
0.446,0.058866603,0.000144712
0.448,0.058888125,0.000145346
0.45,0.058851456,0.00014552
0.452,0.058848345,0.000145562
0.454,0.058841236,0.000145185
0.456,0.058776978,0.000145591
0.458,0.058788736,0.000145854
0.46,0.05873978,0.000146421
0.462,0.058836941,0.000146474
0.464,0.05874493,0.000147483
0.466,0.058738942,0.000147433
0.468,0.058720999,0.000148017
0.47,0.058706,0.000147436
0.472,0.058685348,0.000148098
0.474,0.058761907,0.000151851
0.476,0.058658557,0.000156749
0.478,0.058677337,0.000159997
0.48,0.058676863,0.000162862
0.482,0.058745598,0.0001656
0.484,0.058627283,0.000167462
0.486,0.058719458,0.000163821
0.488,0.05866955,0.000159377
0.49,0.058635748,0.000157503
0.492,0.058703534,0.000157816
0.494,0.058625034,0.000156077
0.496,0.058627792,0.000155712
0.498,0.058669151,0.000155026
0.5,0.05867323,0.00012619
0.504,0.0586596,0.000109135
0.508,0.05867565,0.000109635
0.512,0.058703993,0.000109916
0.516,0.05873489,0.000109961
0.52,0.058661678,0.000109331
0.524,0.05869408,0.000109158
0.528,0.058750118,0.000109082
0.532,0.05873966,0.000109514
0.536,0.05878591,0.000109802
0.54,0.058792917,0.000114091
0.544,0.058823976,0.000113349
0.548,0.05884981,0.000112455
0.552,0.058886651,0.000111458
0.556,0.059035006,0.000110284
0.56,0.059084357,0.000109719
0.564,0.059061178,0.000110086
0.568,0.059101126,0.000110169
0.572,0.059160897,0.00010994
0.576,0.05926462,0.00011023
0.58,0.059217914,0.000110411
0.584,0.059226101,0.000110547
0.588,0.059289153,0.000110597
0.592,0.059331926,0.000110592
0.596,0.059367951,0.000114722
0.6,0.059434668,0.000121911
0.604,0.059551661,0.000127303
0.608,0.059561137,0.000124768
0.612,0.0594806,0.000119529
0.616,0.059554159,0.000117839
0.62,0.059547505,0.000116924
0.624,0.05956757,0.000117036
0.628,0.059673335,0.000116959
0.632,0.059737852,0.000116769
0.636,0.059756274,0.000116126
0.64,0.059837431,0.00011481
0.644,0.059886971,0.000113783
