qValue,rValue,sValue
0.0035,10.9906211,2.00711443
0.003620549,14.1330929,2.58082293
0.00374525,11.3161716,1.09635439
0.003874246,9.39641885,0.701854559
0.004007685,11.2460175,1.52484805
0.00414572,12.1505152,1.11803525
0.004288509,11.0206285,0.608177286
0.004436216,8.57230169,0.483346254
0.004589011,8.12008365,0.66538508
0.004747068,7.40968368,0.480067972
0.00491057,6.54902789,0.361800177
0.005079702,5.90577267,0.325858662
0.00525466,5.08933754,0.329260066
0.005435644,4.5008844,0.220158026
0.005622862,4.05896898,0.21443917
0.005816528,3.5268756,0.18630013
0.006016864,3.10810184,0.142087669
0.0062241,2.72173589,0.128676727
0.006438474,2.47250354,0.125539249
0.006660232,2.15782509,0.088280698
0.006889627,1.96485432,0.099694196
0.007126923,1.72966566,0.065990197
0.007372393,1.54931827,0.070851094
0.007626317,1.40853399,0.056227698
0.007888987,1.23449954,0.04269349
0.008160704,1.12178222,0.048378066
0.00844178,1.00063063,0.032890201
0.008732536,0.904200052,0.031858954
0.009033307,0.814137827,0.027206571
0.009344437,0.747715624,0.027934121
0.009666284,0.675205686,0.019313406
0.009999216,0.603740897,0.018181016
0.010343614,0.550458791,0.016806514
0.010699875,0.501737525,0.014021268
0.011068406,0.461674889,0.013386836
0.01144963,0.422963087,0.011315159
0.011843985,0.390490942,0.010128087
0.012251922,0.359118849,0.009318762
0.01267391,0.334949099,0.008213593
0.013110432,0.309601699,0.00721971
0.013561989,0.287605228,0.006406057
0.014029099,0.268226758,0.006160579
0.014512297,0.253178743,0.005522167
0.015012137,0.236735411,0.00496079
0.015529194,0.223380471,0.00428502
0.016064059,0.211927969,0.003806429
0.016617347,0.199895353,0.003447126
0.017189691,0.191581572,0.003109026
0.017781748,0.183061123,0.002946243
0.018394197,0.176794125,0.002616742
0.01902774,0.169563613,0.002397754
0.019683105,0.163771849,0.002220704
0.020361041,0.158866144,0.002114586
0.021062328,0.154538601,0.001964048
0.021787768,0.151114426,0.001871587
0.022538195,0.14760676,0.001683179
0.023314468,0.144489549,0.001630153
0.024117478,0.141845364,0.001530513
0.024948146,0.139106176,0.001443715
0.025807424,0.137144697,0.001392591
0.026696298,0.135237277,0.001299351
0.027615787,0.133516537,0.001270905
0.028566946,0.131178566,0.001274764
0.029550865,0.129632901,0.001189343
0.030568673,0.127326934,0.001177427
0.031621536,0.125467449,0.001105192
0.032710663,0.122997631,0.001074854
0.033837302,0.120992088,0.001041967
0.035002746,0.118331483,0.001052783
0.03620833,0.116082105,0.000993648
0.037455438,0.113610891,0.00092281
0.0387455,0.110426307,0.000884782
0.040079994,0.107246118,0.000826377
0.041460452,0.103854017,0.000783936
0.042888456,0.100072499,0.000713688
0.044365645,0.09688045,0.000673643
0.045893712,0.093010034,0.000619522
0.047474409,0.089972223,0.000580668
0.049109549,0.086479471,0.000542694
0.050801008,0.083949915,0.000516644
0.052550725,0.081365464,0.000513111
0.054360707,0.079459847,0.000487072
0.05623303,0.077792382,0.000452112
0.05816984,0.076879616,0.000425301
0.060173358,0.07615171,0.000407941
0.062245883,0.075936666,0.000390787
0.064389791,0.075827454,0.000376124
0.066607541,0.075909563,0.000367277
0.068901676,0.07583644,0.000357261
0.071274826,0.075683415,0.000363626
0.073729714,0.075002809,0.000341733
0.076269155,0.074386475,0.000320548
0.07889606,0.073626769,0.000304969
0.081613443,0.072721174,0.000291022
0.08442442,0.071737427,0.000277301
0.087332213,0.071012599,0.000263553
0.090340159,0.070550421,0.000255907
0.093451706,0.070302822,0.000244842
0.096670423,0.07012711,0.000236731
0.1,0.070190335,0.00025831
0.102,0.070022713,0.000293765
0.104,0.070040569,0.000293494
0.106,0.069857274,0.000305412
0.108,0.069730657,0.000305214
0.11,0.06971441,0.00030922
0.112,0.069446831,0.000311762
0.114,0.069380327,0.000313429
0.116,0.069160372,0.000312545
0.118,0.068985128,0.000314283
0.12,0.068780769,0.000307319
0.122,0.068293757,0.000292245
0.124,0.068248207,0.000284992
0.126,0.06804575,0.00028083
0.128,0.067900599,0.000274847
0.13,0.067683727,0.000270075
0.132,0.067655875,0.000265612
0.134,0.06760601,0.000262801
0.136,0.067431499,0.000259005
0.138,0.067225126,0.000256174
0.14,0.067195311,0.000264379
0.142,0.066951293,0.000277836
0.144,0.066677853,0.000283497
0.146,0.066750451,0.000273245
0.148,0.066657478,0.00025927
0.15,0.066667524,0.000250958
0.152,0.066612755,0.00024613
0.154,0.066483466,0.000243624
0.156,0.066429344,0.000242112
0.158,0.06637249,0.000239301
0.16,0.066331143,0.000238187
0.162,0.066345047,0.00023638
0.164,0.066227165,0.000234134
0.166,0.066212887,0.000231821
0.168,0.066151128,0.000229651
0.17,0.065981349,0.000227785
0.172,0.065907384,0.000225542
0.174,0.065766212,0.000230299
0.176,0.065643398,0.000232718
0.178,0.06555751,0.00022537
0.18,0.065369132,0.000231291
0.182,0.065266298,0.000222222
0.184,0.06511786,0.000216917
0.186,0.065116839,0.000216082
0.188,0.064850991,0.000213977
0.19,0.064775935,0.000213814
0.192,0.064707605,0.000211714
0.194,0.06455411,0.000209905
0.196,0.064482445,0.000208159
0.198,0.064418414,0.000206444
0.2,0.064304927,0.00020452
0.202,0.064174113,0.0002032
0.204,0.064075157,0.000200696
0.206,0.064012166,0.000200488
0.208,0.063897223,0.00019831
0.21,0.063866699,0.000196299
0.212,0.063740128,0.000195302
0.214,0.063625611,0.000199222
0.216,0.063508469,0.000201175
0.218,0.063459737,0.000194736
0.22,0.063532809,0.000193291
0.222,0.063410622,0.000191328
0.224,0.06335941,0.00018943
0.226,0.063370633,0.000187904
0.228,0.063216929,0.000187608
0.23,0.063136339,0.000189316
0.232,0.063066651,0.000195002
0.234,0.062998518,0.000196327
0.236,0.063002069,0.000199593
0.238,0.062996212,0.000200684
0.24,0.062897934,0.000201152
0.242,0.062918255,0.00019739
0.244,0.062834519,0.000191429
0.246,0.062717731,0.000189499
0.248,0.062727515,0.00018792
0.25,0.062739388,0.000194518
0.252,0.062692756,0.000188176
0.254,0.062512584,0.000184577
0.256,0.062474408,0.00018216
0.258,0.062485182,0.000181524
0.26,0.062441112,0.000179643
0.262,0.062389556,0.000178985
0.264,0.062382158,0.000177324
0.266,0.0622582,0.000176271
0.268,0.062237608,0.000174944
0.27,0.062161552,0.000173439
0.272,0.062119686,0.000170754
0.274,0.062088797,0.000169678
0.276,0.061981055,0.000168281
0.278,0.062051528,0.00016849
0.28,0.061849892,0.000167844
0.282,0.061859889,0.000168201
0.284,0.061739257,0.000170451
0.286,0.061750301,0.000172572
0.288,0.061617535,0.000167411
0.29,0.061534322,0.000165849
0.292,0.061569307,0.000164716
0.294,0.061429577,0.000163394
0.296,0.06139461,0.000166197
0.298,0.061389881,0.000168331
0.3,0.061314217,0.000164604
0.302,0.061234931,0.000163351
0.304,0.06123279,0.000161274
0.306,0.061227722,0.00015987
0.308,0.061125214,0.000159367
0.31,0.061099459,0.000159191
0.312,0.06108183,0.000158442
0.314,0.060996748,0.000156768
0.316,0.060873357,0.000155651
0.318,0.060878755,0.000155585
0.32,0.060876932,0.000160558
0.322,0.060798873,0.000156825
0.324,0.060720582,0.000154852
0.326,0.060747521,0.00015437
0.328,0.06072982,0.000152953
0.33,0.060711962,0.00015214
0.332,0.060643732,0.000151703
0.334,0.060600133,0.000150893
0.336,0.060535606,0.000150238
0.338,0.060522756,0.00014896
0.34,0.060536831,0.00014812
0.342,0.060387616,0.000147841
0.344,0.060392794,0.000147297
0.346,0.060363956,0.000146446
0.348,0.060366798,0.000146198
0.35,0.060354176,0.000146056
0.352,0.060334121,0.000147418
0.354,0.060238312,0.000153027
0.356,0.060208782,0.000158044
0.358,0.060170441,0.00015594
0.36,0.060192409,0.000156061
0.362,0.06016829,0.000157391
0.364,0.060074177,0.000154704
0.366,0.05996544,0.000150557
0.368,0.05996182,0.000148273
0.37,0.059988768,0.000147389
0.372,0.059886389,0.000145174
0.374,0.059882188,0.000145033
0.376,0.059755262,0.000144346
0.378,0.059784714,0.000143615
0.38,0.05972352,0.000142326
0.382,0.059736353,0.000141694
0.384,0.05966425,0.0001408
0.386,0.059612525,0.000139878
0.388,0.0595603,0.000139169
0.39,0.05954848,0.000143673
0.392,0.059429387,0.00014123
0.394,0.05950531,0.000139472
0.396,0.059437101,0.000138529
0.398,0.05935886,0.000138232
0.4,0.059349732,0.000137674
0.402,0.059289167,0.000137792
0.404,0.05930835,0.000136953
0.406,0.059278336,0.000136284
0.408,0.059205135,0.000136057
0.41,0.05919965,0.000135971
0.412,0.059120978,0.000135036
0.414,0.059139943,0.000134714
0.416,0.05914654,0.000134126
0.418,0.059068023,0.000136541
0.42,0.059148724,0.000138216
0.422,0.059035494,0.000135945
0.424,0.059029378,0.0001363
0.426,0.059008234,0.000138815
0.428,0.058932588,0.000139952
0.43,0.058864576,0.000141477
0.432,0.058816589,0.000141696
0.434,0.05885174,0.000143049
0.436,0.058776997,0.000143154
0.438,0.058787591,0.000143834
0.44,0.058703234,0.000142712
0.442,0.058713125,0.000142766
0.444,0.058679193,0.000143654
0.446,0.05868679,0.000144431
0.448,0.058681527,0.000144971
0.45,0.058647158,0.000145182
0.452,0.058575146,0.000145057
0.454,0.058651185,0.000144901
0.456,0.058615386,0.000145324
0.458,0.0585383,0.000145403
0.46,0.058615477,0.000146241
0.462,0.058566185,0.000145975
0.464,0.058515041,0.000147068
0.466,0.058500419,0.000146968
0.468,0.058535931,0.000147702
0.47,0.058459251,0.000146948
0.472,0.058500714,0.000147802
0.474,0.058476081,0.000151269
0.476,0.058481625,0.000156429
0.478,0.058442511,0.0001595
0.48,0.058457328,0.000162398
0.482,0.058463471,0.00016492
0.484,0.058443505,0.000167127
0.486,0.058466457,0.000163287
0.488,0.058462246,0.000158958
0.49,0.058445275,0.000157182
0.492,0.058464041,0.00015735
0.494,0.058414858,0.000155673
0.496,0.058473658,0.00015543
0.498,0.058421117,0.000154546
0.5,0.05843273,0.00012579
0.504,0.058491597,0.00010892
