qValue,rValue,sValue
0.0035,11.0186607,2.0121905
0.003620549,14.1458758,2.58323248
0.00374525,11.3579797,1.0975052
0.003874246,9.45977923,0.705429671
0.004007685,11.2700264,1.52783756
0.00414572,12.157753,1.11766909
0.004288509,11.0876107,0.611788792
0.004436216,8.70999273,0.490854357
0.004589011,8.23518925,0.674327076
0.004747068,7.49580733,0.485649751
0.00491057,6.67157866,0.368467988
0.005079702,6.04218649,0.333341322
0.00525466,5.24113374,0.338952485
0.005435644,4.63409799,0.226584002
0.005622862,4.18820864,0.221229241
0.005816528,3.64841347,0.192626856
0.006016864,3.24172835,0.14821084
0.0062241,2.85362166,0.134897018
0.006438474,2.61087373,0.132493244
0.006660232,2.28652445,0.093506687
0.006889627,2.10550777,0.106796436
0.007126923,1.85406285,0.070725152
0.007372393,1.67521661,0.076607041
0.007626317,1.53092985,0.061102411
0.007888987,1.3512139,0.04670723
0.008160704,1.2406965,0.05348541
0.00844178,1.12013533,0.03680036
0.008732536,1.01580275,0.035783985
0.009033307,0.922927446,0.030839065
0.009344437,0.852256586,0.031831274
0.009666284,0.77755965,0.022227178
0.009999216,0.703156295,0.021164136
0.010343614,0.648283589,0.019785767
0.010699875,0.597653214,0.016695798
0.011068406,0.553164944,0.016024113
0.01144963,0.51333761,0.013722256
0.011843985,0.478263484,0.012398655
0.012251922,0.446276472,0.011570083
0.01267391,0.421793861,0.010337126
0.013110432,0.391073955,0.009108547
0.013561989,0.368916626,0.008209083
0.014029099,0.347343331,0.007967733
0.014512297,0.329808912,0.007186299
0.015012137,0.31462533,0.006583265
0.015529194,0.298253655,0.005710601
0.016064059,0.284821316,0.005106176
0.016617347,0.273901389,0.004711754
0.017189691,0.264471874,0.004282394
0.017781748,0.256099604,0.004112927
0.018394197,0.24873874,0.003672812
0.01902774,0.241390076,0.003405161
0.019683105,0.237740647,0.003214763
0.020361041,0.232910872,0.003091806
0.021062328,0.228876763,0.002898667
0.021787768,0.224844403,0.002776293
0.022538195,0.222025511,0.002523821
0.023314468,0.219784385,0.002470385
0.024117478,0.216818236,0.002330525
0.024948146,0.214283556,0.002214811
0.025807424,0.211095224,0.002135507
0.026696298,0.20925391,0.00200222
0.027615787,0.205766392,0.001951061
0.028566946,0.20356773,0.001969675
0.029550865,0.20013899,0.001829002
0.030568673,0.197149122,0.001815742
0.031621536,0.193639719,0.001698419
0.032710663,0.189788692,0.001651936
0.033837302,0.18561941,0.001591266
0.035002746,0.181336905,0.001606
0.03620833,0.176555203,0.00150457
0.037455438,0.171307351,0.001385295
0.0387455,0.165886262,0.001323018
0.040079994,0.159005869,0.001219728
0.041460452,0.152081984,0.001142289
0.042888456,0.144677707,0.001027143
0.044365645,0.137112886,0.00094929
0.045893712,0.129011358,0.000855656
0.047474409,0.121364889,0.000780147
0.049109549,0.113792391,0.000711373
0.050801008,0.107079628,0.000656659
0.052550725,0.100836002,0.000633611
0.054360707,0.095962433,0.000586574
0.05623303,0.092101864,0.000534086
0.05816984,0.089644979,0.00049491
0.060173358,0.088058345,0.0004707
