qValue,rValue,sValue
0.0035,11.247017,2.05416438
0.003620549,14.2796672,2.60774457
0.00374525,11.4595753,1.11195363
0.003874246,9.49432806,0.709099473
0.004007685,11.2750277,1.52780713
0.00414572,12.2793395,1.12919489
0.004288509,11.1217273,0.613673059
0.004436216,8.65507432,0.487658261
0.004589011,8.19296123,0.671275715
0.004747068,7.44725988,0.482421901
0.00491057,6.63966439,0.366851599
0.005079702,5.97553365,0.329675357
0.00525466,5.16776585,0.33420771
0.005435644,4.56746516,0.223360752
0.005622862,4.1337425,0.218362631
0.005816528,3.57930189,0.189001227
0.006016864,3.17541448,0.145185551
0.0062241,2.78492712,0.131673898
0.006438474,2.53565161,0.128672929
0.006660232,2.21080364,0.09043546
0.006889627,2.02686439,0.10280591
0.007126923,1.78595939,0.068130333
0.007372393,1.60732414,0.073486043
0.007626317,1.45205025,0.057957852
0.007888987,1.28360006,0.044377275
0.008160704,1.16873252,0.050400758
0.00844178,1.04461049,0.034329015
0.008732536,0.943298935,0.033229068
0.009033307,0.855649036,0.02858418
0.009344437,0.787844284,0.029433395
0.009666284,0.710536451,0.020318699
0.009999216,0.638408926,0.019218081
0.010343614,0.584784449,0.017852328
0.010699875,0.535771157,0.014971619
0.011068406,0.494096831,0.01431961
0.01144963,0.453537646,0.012129518
0.011843985,0.419823933,0.010886591
0.012251922,0.389369431,0.010096936
0.01267391,0.362834042,0.008894681
0.013110432,0.337694017,0.007867862
0.013561989,0.313278843,0.006973807
0.014029099,0.294637481,0.006762681
0.014512297,0.276926492,0.006035782
0.015012137,0.261750645,0.005480719
0.015529194,0.246793767,0.004729899
0.016064059,0.234160358,0.004202203
0.016617347,0.222142949,0.003827171
0.017189691,0.214290996,0.003475937
0.017781748,0.204315503,0.003285348
0.018394197,0.197530236,0.002920277
0.01902774,0.191883151,0.002710628
0.019683105,0.185201311,0.002508721
0.020361041,0.180104719,0.002394349
0.021062328,0.176216217,0.00223527
0.021787768,0.172087815,0.002128292
0.022538195,0.168936934,0.001924126
0.023314468,0.165969541,0.001869517
0.024117478,0.162032028,0.00174538
0.024948146,0.160476597,0.001662017
0.025807424,0.158118981,0.001602792
0.026696298,0.15550192,0.001491281
0.027615787,0.153260172,0.001456301
0.028566946,0.150897936,0.001463755
0.029550865,0.148678754,0.001361732
0.030568673,0.145935976,0.001347118
0.031621536,0.143647537,0.001263021
0.032710663,0.140735751,0.00122812
0.033837302,0.137867273,0.001185035
0.035002746,0.135294777,0.001201553
0.03620833,0.131598538,0.001124451
0.037455438,0.128385568,0.001041026
0.0387455,0.125030466,0.000999887
0.040079994,0.120426904,0.000926082
0.041460452,0.115818297,0.000872507
0.042888456,0.111360237,0.000792843
0.044365645,0.106986519,0.000742869
0.045893712,0.102336232,0.000680517
