qValue,rValue,sValue
0.0035,11.0959715,2.02639349
0.003620549,14.1972481,2.59266365
0.00374525,11.2902524,1.09607504
0.003874246,9.42046531,0.702782295
0.004007685,11.2445464,1.51919594
0.00414572,12.197606,1.12212948
0.004288509,11.0585648,0.61016452
0.004436216,8.59380146,0.484064848
0.004589011,8.16872004,0.669292472
0.004747068,7.43410753,0.481387892
0.00491057,6.58911559,0.3639038
0.005079702,5.93454495,0.327310166
0.00525466,5.15973339,0.333736885
0.005435644,4.51684495,0.220877891
0.005622862,4.12486114,0.217881744
0.005816528,3.56873184,0.18841892
0.006016864,3.15368056,0.14416483
0.0062241,2.77713745,0.131288226
0.006438474,2.52678316,0.128212001
0.006660232,2.212251,0.090483194
0.006889627,2.02060121,0.102480375
0.007126923,1.78733134,0.06816817
0.007372393,1.60429648,0.07334295
0.007626317,1.46585356,0.058490648
0.007888987,1.2920639,0.044672161
0.008160704,1.1827325,0.051001323
0.00844178,1.05936805,0.034814268
0.008732536,0.964450159,0.033965907
0.009033307,0.874385631,0.0292126
0.009344437,0.805886238,0.030098506
0.009666284,0.730293322,0.020877289
0.009999216,0.659719255,0.019857229
0.010343614,0.605147209,0.018467403
0.010699875,0.552694453,0.015445476
0.011068406,0.511380643,0.014813035
0.01144963,0.47443266,0.012685051
0.011843985,0.437542151,0.011345365
0.012251922,0.405168714,0.010507787
0.01267391,0.38095048,0.009337919
0.013110432,0.353434312,0.008234603
0.013561989,0.330509024,0.007354955
0.014029099,0.310399194,0.007123122
0.014512297,0.292837163,0.006381609
0.015012137,0.276457523,0.005786952
0.015529194,0.261034425,0.005002103
0.016064059,0.247728861,0.004444212
0.016617347,0.236139684,0.004066214
0.017189691,0.226992717,0.003678622
0.017781748,0.218626828,0.003512794
0.018394197,0.211396864,0.003123819
0.01902774,0.204888047,0.002892008
0.019683105,0.199240344,0.00269615
0.020361041,0.194743865,0.002588032
0.021062328,0.191462315,0.002426389
0.021787768,0.187916547,0.002322329
0.022538195,0.185258874,0.002108106
0.023314468,0.182502477,0.002054243
0.024117478,0.180353371,0.001941387
0.024948146,0.178408918,0.001845689
0.025807424,0.176946032,0.001792199
0.026696298,0.175800178,0.00168419
0.027615787,0.174086179,0.001652204
0.028566946,0.172684843,0.001673209
0.029550865,0.170724433,0.001561709
0.030568673,0.168570589,0.001553692
0.031621536,0.166269632,0.001459991
0.032710663,0.164233703,0.001430905
0.033837302,0.16102838,0.001381765
0.035002746,0.158297522,0.001403411
0.03620833,0.154648712,0.001319296
0.037455438,0.150470891,0.001217853
0.0387455,0.146605121,0.001170167
0.040079994,0.140689614,0.001079893
0.041460452,0.13485799,0.001013912
0.042888456,0.129155438,0.000917885
0.044365645,0.12271807,0.000850146
0.045893712,0.115863834,0.000768881
0.047474409,0.109526234,0.000704249
0.049109549,0.103384841,0.000646562
0.050801008,0.097753384,0.000599883
0.052550725,0.092970235,0.000584263
0.054360707,0.088880134,0.000543451
0.05623303,0.085778917,0.000497606
0.05816984,0.084002739,0.00046373
0.060173358,0.082887401,0.000443041
0.062245883,0.082770763,0.000424949
0.064389791,0.08311123,0.000411057
0.066607541,0.083569745,0.000403341
0.068901676,0.083892762,0.000394147
0.071274826,0.083906468,0.000402128
0.073729714,0.083265295,0.000378219
0.076269155,0.082235115,0.000353544
0.07889606,0.080442832,0.000332355
0.081613443,0.078883131,0.00031498
0.08442442,0.076945289,0.000296747
0.087332213,0.075460718,0.000279502
0.090340159,0.074486194,0.000269625
0.093451706,0.073984271,0.000257236
0.096670423,0.073997642,0.000249316
0.1,0.07408288,0.000272069
0.102,0.074186199,0.000310709
0.104,0.074090391,0.000309818
0.106,0.073936841,0.000322664
0.108,0.073813681,0.000322355
0.11,0.073643912,0.000325959
0.112,0.073344376,0.000328524
0.114,0.073059061,0.00032942
0.116,0.072677329,0.000327824
0.118,0.072334805,0.00032891
0.12,0.072030471,0.000321275
0.122,0.071539116,0.000305651
0.124,0.071277191,0.000297125
0.126,0.070984114,0.000292439
0.128,0.070649425,0.000285468
0.13,0.070613572,0.000281289
0.132,0.070355127,0.000275731
0.134,0.070112039,0.000272124
0.136,0.069912015,0.000268063
0.138,0.069749569,0.000265376
0.14,0.06949208,0.00027297
0.142,0.069267032,0.000287023
0.144,0.069191492,0.000293795
0.146,0.069003955,0.000282001
0.148,0.068922521,0.000267678
0.15,0.068847823,0.000258725
0.152,0.068743467,0.000253577
0.154,0.068612791,0.000250962
0.156,0.068671683,0.000249793
0.158,0.068899479,0.000248078
0.16,0.068809583,0.000246665
0.162,0.068830788,0.000244813
0.164,0.068793549,0.000242755
0.166,0.06874263,0.000240275
0.168,0.068756745,0.000238277
0.17,0.068554972,0.000236282
0.172,0.068502562,0.000234006
0.174,0.068335662,0.000238905
0.176,0.068272434,0.000241636
0.178,0.067986318,0.00023339
0.18,0.067629613,0.000238958
0.182,0.067553379,0.00022968
0.184,0.067291118,0.000223768
0.186,0.066955541,0.000221824
0.188,0.066887501,0.000220354
0.19,0.066590696,0.000219435
0.192,0.066292302,0.000216585
0.194,0.066087588,0.000214617
0.196,0.065936786,0.000212583
0.198,0.065744333,0.000210437
0.2,0.065623292,0.000208443
0.202,0.065463329,0.000206987
0.204,0.065234339,0.000204084
0.206,0.065176759,0.00020389
0.208,0.065026386,0.00020155
0.21,0.06497937,0.000199474
0.212,0.064788834,0.000198295
0.214,0.064690492,0.000202267
0.216,0.064621617,0.000204407
0.218,0.064480215,0.000197563
0.22,0.06445652,0.000195909
0.222,0.064304098,0.000193794
0.224,0.064262927,0.000191872
0.226,0.064174214,0.000190066
0.228,0.064051085,0.000189879
0.23,0.06400918,0.000191669
0.232,0.063981949,0.000197617
0.234,0.063953797,0.000199099
0.236,0.063834712,0.000202018
0.238,0.063774777,0.000202914
0.24,0.063630645,0.000203287
0.242,0.063527539,0.000199107
0.244,0.063559658,0.000193457
0.246,0.063466057,0.000191586
0.248,0.063389573,0.000189682
0.25,0.063273588,0.000195905
0.252,0.063265287,0.000189701
0.254,0.063201954,0.000186403
0.256,0.063087555,0.000183786
0.258,0.063001457,0.000182811
0.26,0.062999059,0.000181048
0.262,0.062967425,0.000180413
0.264,0.062870129,0.000178517
0.266,0.062851897,0.000177784
0.268,0.062754444,0.000176228
0.27,0.062576608,0.000174407
0.272,0.062657101,0.000172035
0.274,0.062504316,0.000170626
0.276,0.062445242,0.000169377
0.278,0.062408407,0.000169293
0.28,0.06239871,0.000169161
0.282,0.062245548,0.000169071
0.284,0.062228619,0.000171599
0.286,0.062148135,0.000173494
0.288,0.062117219,0.000168595
0.29,0.062070938,0.000167106
0.292,0.06185826,0.000165355
0.294,0.061893914,0.00016443
0.296,0.06182279,0.000167178
0.298,0.061797845,0.0001693
0.3,0.061789115,0.000165748
0.302,0.06173393,0.000164471
0.304,0.061609607,0.000162095
0.306,0.061643126,0.000160804
0.308,0.061576717,0.000160348
0.31,0.061489632,0.000160027
0.312,0.061465943,0.000159283
0.314,0.061336531,0.000157487
0.316,0.061294438,0.000156576
0.318,0.061290251,0.000156426
0.32,0.061213548,0.000161279
0.322,0.061145551,0.00015753
0.324,0.061138359,0.000155778
0.326,0.061072029,0.000155006
0.328,0.061067214,0.000153648
0.33,0.061020754,0.000152768
0.332,0.060944969,0.000152305
0.334,0.060869038,0.00015141
0.336,0.06084913,0.000150872
0.338,0.060831254,0.000149535
0.34,0.060746868,0.000148446
0.342,0.060722179,0.000148512
0.344,0.060696702,0.000147881
0.346,0.060661573,0.000147026
0.348,0.060604889,0.000146626
0.35,0.06053035,0.000146362
0.352,0.060564696,0.000147813
0.354,0.060571423,0.000153717
0.356,0.060398361,0.000158423
0.358,0.06038987,0.000156372
0.36,0.060458225,0.000156609
0.362,0.060406142,0.000157854
0.364,0.060370909,0.000155311
0.366,0.060283209,0.000151195
0.368,0.060194631,0.000148726
0.37,0.060151077,0.00014765
0.372,0.060172202,0.000145715
0.374,0.060092514,0.000145381
0.376,0.06002544,0.000144847
0.378,0.059983211,0.000143971
0.38,0.060027933,0.000142904
0.382,0.059949237,0.000142076
0.384,0.059868256,0.000141119
0.386,0.059873602,0.000140334
0.388,0.05976607,0.000139501
0.39,0.05975734,0.000144021
0.392,0.05969644,0.000141708
0.394,0.05968705,0.000139729
0.396,0.059622487,0.000138808
0.398,0.059589613,0.000138638
0.4,0.059555469,0.000138019
0.402,0.059542175,0.000138249
0.404,0.059514594,0.000137322
0.406,0.059488,0.000136634
0.408,0.059429865,0.000136433
0.41,0.05943967,0.000136371
0.412,0.059353686,0.000135413
0.414,0.059348981,0.000135041
0.416,0.059305356,0.000134348
0.418,0.059310187,0.000136956
0.42,0.059272833,0.000138389
0.422,0.059308364,0.000136416
0.424,0.059260785,0.000136669
0.426,0.05917969,0.000139061
0.428,0.059185981,0.000140406
0.43,0.059101762,0.00014189
0.432,0.059090877,0.000142219
0.434,0.059013177,0.000143294
0.436,0.059028266,0.000143608
0.438,0.05899193,0.000144208
0.44,0.05894986,0.000143187
0.442,0.058940913,0.000143182
0.444,0.058904317,0.00014405
0.446,0.058842034,0.000144682
0.448,0.058880356,0.000145308
0.45,0.058882268,0.000145615
0.452,0.058812745,0.000145477
0.454,0.058806631,0.000145138
0.456,0.058787253,0.000145595
0.458,0.058795136,0.0001459
0.46,0.058785161,0.00014651
0.462,0.058715713,0.000146214
0.464,0.058733124,0.000147441
0.466,0.058726267,0.000147402
0.468,0.058658752,0.000147862
0.47,0.058717103,0.000147435
0.472,0.058753931,0.000148233
0.474,0.058733646,0.000151805
0.476,0.058696997,0.000156836
0.478,0.058613659,0.000159783
0.48,0.058718858,0.000162947
0.482,0.058595178,0.000165158
0.484,0.058722024,0.000167755
0.486,0.058683888,0.000163742
0.488,0.058600836,0.000159203
0.49,0.058629316,0.000157478
0.492,0.05867917,0.000157745
0.494,0.058651948,0.000156138
0.496,0.058585699,0.000155567
0.498,0.058667037,0.000155011
0.5,0.058654029,0.000126142
0.504,0.058611363,0.000109047
0.508,0.058601228,0.000109484
0.512,0.058686796,0.000109887
0.516,0.058661549,0.00010981
0.52,0.05870871,0.000109425
0.524,0.058697132,0.000109178
0.528,0.058658848,0.000108915
0.532,0.05873944,0.000109512
0.536,0.058772602,0.000109756
0.54,0.058801434,0.000114105
0.544,0.058831649,0.00011337
0.548,0.058821799,0.000112397
0.552,0.058862081,0.000111385
0.556,0.058960365,0.000110128
0.56,0.059078706,0.000109707
0.564,0.059051483,0.000110064
0.568,0.059116661,0.000110193
0.572,0.059159122,0.000109921
0.576,0.059184179,0.000110087
0.58,0.059173449,0.000110321
0.584,0.059255661,0.000110607
0.588,0.05923828,0.000110517
0.592,0.059337566,0.000110587
0.596,0.059389964,0.000114737
0.6,0.059436297,0.000121917
0.604,0.059541116,0.00012728
0.608,0.059491951,0.000124621
0.612,0.059484809,0.000119524
0.616,0.0594857,0.000117691
0.62,0.059553775,0.00011696
0.624,0.059616249,0.000117127
0.628,0.059656759,0.000116904
0.632,0.059726612,0.00011675
0.636,0.059764998,0.000116136
0.64,0.059831723,0.0001148
0.644,0.059879702,0.000113753
0.648,0.059982909,0.000113894
0.652,0.05999898,0.000113732
0.656,0.060036421,0.000113901
0.66,0.0601252,0.000116712
0.664,0.060195302,0.00011905
0.668,0.060196259,0.000116776
0.672,0.060293124,0.000116651
0.676,0.060310236,0.000115397
0.68,0.060313228,0.000115729
0.684,0.060316779,0.000115397
0.688,0.060354743,0.000115336
0.692,0.060305758,0.000114668
0.696,0.060335818,0.00011441
0.7,0.060287624,0.000114616
0.704,0.060240613,0.000114557
0.708,0.060273339,0.00011454
0.712,0.060232191,0.0001143
0.716,0.060377644,0.000117739
0.72,0.060566933,0.000127248
0.724,0.060743774,0.000134437
0.728,0.060646873,0.000134307
0.732,0.060205349,0.000124157
0.736,0.059964761,0.000120208
0.74,0.059631916,0.000117604
0.744,0.059249711,0.000116964
0.748,0.058790461,0.000114999
0.752,0.058329112,0.000114067
0.756,0.058823164,0.000123607
0.76,0.05931921,0.000132744
0.764,0.059604498,0.000139145
0.768,0.059658125,0.000144139
0.772,0.059655525,0.000149865
0.776,0.059685416,0.000155613
0.78,0.059774797,0.000161725
0.784,0.059735655,0.000166297
0.788,0.059799327,0.000171763
0.792,0.059752517,0.000178794
0.796,0.059670749,0.000185731
0.8,0.059728001,0.000193444
0.804,0.059758541,0.000202412
0.808,0.059635584,0.000211882
0.812,0.059448021,0.000223406
0.816,0.059371806,0.000233858
0.82,0.059076922,0.000245975
0.824,0.058781055,0.000265442
0.828,0.058555497,0.000287702
0.832,0.058232373,0.000296017
0.836,0.058313126,0.00030667
0.84,0.057470028,0.000359351
0.844,0.056285199,0.000521772
0.848,0.055258791,0.001099477
0.852,0,0
0.856,0,0
0.86,0,0
0.864,0,0
0.868,0,0
0.872,0,0
0.876,0,0
0.88,0,0
0.884,0,0
0.888,0,0
0.892,0,0
0.896,0,0
